LOAN;MORTDUE;VALUE;REASON;JOB;YOJ;DEROG;DELINQ;CLAGE;NINQ;CLNO;DEBTINC;BAD
1100;25860;39025;HomeImp;Other;10,50;0;0;94,37;1;9;0,00;1
1300;70053;68400;HomeImp;Other;7,00;0;2;121,83;0;14;0,00;1
1500;13500;16700;HomeImp;Other;4,00;0;0;149,47;1;10;0,00;1
1700;97800;112000;HomeImp;Office;3,00;0;0;93,33;0;14;0,00;0
1700;30548;40320;HomeImp;Other;9,00;0;0;101,47;1;8;37,11;1
1800;48649;57037;HomeImp;Other;5,00;3;2;77,10;1;17;0,00;1
1800;28502;43034;HomeImp;Other;11,00;0;0;88,77;0;8;36,88;1
2000;32700;46740;HomeImp;Other;3,00;0;2;216,93;1;12;0,00;1
2000;0;62250;HomeImp;Sales;16,00;0;0;115,80;0;13;0,00;1
2000;20627;29800;HomeImp;Office;11,00;0;1;122,53;1;9;0,00;1
2000;45000;55000;HomeImp;Other;3,00;0;0;86,07;2;25;0,00;1
2100;71000;83850;HomeImp;Other;8,00;0;1;123,00;0;16;0,00;1
2200;24280;34687;HomeImp;Other;0,00;0;1;300,87;0;8;0,00;1
2200;90957;102600;HomeImp;Mgr;7,00;2;6;122,90;1;22;0,00;1
2300;28192;40150;HomeImp;Other;4,50;0;0;54,60;1;16;0,00;1
2300;102370;120953;HomeImp;Office;2,00;0;0;90,99;0;13;31,59;0
2300;37626;46200;HomeImp;Other;3,00;0;1;122,27;1;14;0,00;1
2400;50000;73395;HomeImp;ProfExe;5,00;1;0;0,00;1;0;0,00;1
2400;28000;40800;HomeImp;Mgr;12,00;0;0;67,20;2;22;0,00;1
2400;0;17180;HomeImp;Other;0,00;0;0;14,57;3;4;0,00;1
2400;34863;47471;HomeImp;Mgr;12,00;0;0;70,49;1;21;38,26;1
2400;98449;117195;HomeImp;Office;4,00;0;0;93,81;0;13;29,68;0
2500;25116;36350;HomeImp;Other;10,00;1;2;276,97;0;9;0,00;1
2500;7229;44516;HomeImp;Self;0,00;0;0;208,00;0;12;0,00;0
2500;71408;78600;HomeImp;ProfExe;8,00;0;0;255,73;0;12;0,00;0
2800;50795;63100;HomeImp;Self;26,00;2;15;145,63;3;45;0,00;1
2800;4000;60850;HomeImp;Other;16,00;4;0;112,63;2;9;0,00;1
